"","Original","Adjusted","VSpNm","genus","family","life_form","code","txresol","life_form_w","threat_st"
"1115","Trichillia palida","Trichilia pallida","Trichilia pallida","Trichilia","Meliaceae","tree","Tricpall","species","tree",NA
"1116","Trichillia sp","Trichilia sp","Trichilia","Trichilia","Meliaceae",NA,"Tricsp","genus",NA,NA
"1117","Tripalis americana","Triplaris americana","Triplaris americana","Triplaris","Polygonaceae","tree","Tripamer","species","tree",NA
"1118","Triparisamericana sp","Triplaris americana","Triplaris americana","Triplaris","Polygonaceae","tree","Tripamer","species","tree",NA
"1119","Triplanis america","Triplaris americana","Triplaris americana","Triplaris","Polygonaceae","tree","Tripamer","species","tree",NA
"1120","Triplaris acuminata","Triplaris acuminata","Triplaris","Triplaris","Polygonaceae","tree","Tripsp","genus","tree",NA
"1121","Triplaris american","Triplaris americana","Triplaris americana","Triplaris","Polygonaceae","tree","Tripamer","species","tree",NA
"1122","Triplaris americana","Triplaris americana","Triplaris americana","Triplaris","Polygonaceae","tree","Tripamer","species","tree",NA
"1123","Triplaris sp","Triplaris sp","Triplaris","Triplaris","Polygonaceae","tree","Tripsp","genus","tree",NA
"1124","Trophis racemosa","Trophis racemosa","Trophis racemosa","Trophis","Moraceae","tree","Troprace","species","tree",NA
"1125","Typha dominguensis","Typha dominguensis","Typha dominguensis","Typha",NA,NA,"Typhdomin","species","forb",NA
"1126","Urea bacc","Urera baccifera","Urera baccifera","Urera","Urticaceae","shrub","Urerbacc","species","shrub",NA
"1127","Urera baccifera","Urera baccifera","Urera baccifera","Urera","Urticaceae","shrub","Urerbacc","species","shrub",NA
"1128","Urera caracasana","Urera caracasana","Urera caracasana","Urera","Urticaceae","tree","Urercara","species","tree",NA
"1129","Urera sp","Urera sp","Urera","Urera","Urticaceae",NA,"Urersp","genus",NA,NA
"1130","Uribea tamarindoides","Uribea tamarindoides","Uribea tamarindoides","Uribea",NA,NA,"Uribtamar","species",NA,NA
"1131","Urtica urens","Urtica urens","Urtica urens","Urtica",NA,NA,"Urtiurens","species","forb",NA
"1132","Urticaceae indetermianda","Urticaceae","Urticaceae","Urticaceae",NA,NA,"Urtifm","family",NA,NA
"1133","Vanilla cf planifolia","Vanilla planifolia","Vanilla planifolia","Vanilla",NA,NA,"Vaniplani","species","forb",NA
"1134","Vasconcellea cauliflora","Vasconcellea cauliflora","Vasconcellea cauliflora","Vasconcellea","Caricaceae",NA,"Vasccauli","species",NA,NA
"1135","Vellozia tubiflora","Vellozia tubiflora","Vellozia tubiflora","Vellozia",NA,NA,"Velltubif","species","treelet",NA
"1136","Verbena litoralis","Verbena litoralis","Verbena litoralis","Verbena",NA,NA,"Verblitor","species",NA,NA
"1137","Vernonanthura brasiliana","Vernonanthura brasiliana","Vernonanthura brasiliana","Vernonanthura","Asteraceae",NA,"Vernbrasi","species","treelet",NA
"1138","Vernonia patens","Vernonia patens","Vernonia patens","Vernonia",NA,NA,"Vernpaten","species","treelet",NA
"1139","Vigna sp","Vigna sp","Vigna","Vigna","Fabaceae",NA,"Vignsp","genus",NA,NA
"1140","Virola sebifera","Virola sebifera","Virola sebifera","Virola",NA,NA,"Virosebif","species","tree",NA
"1141","Vismia baccifera","Vismia baccifera","Vismia baccifera","Vismia","Hypericaceae",NA,"Vismbacci","species",NA,NA
"1142","Vismia lauriformis","Vismia lauriformis","Vismia lauriformis","Vismia","Hypericaceae",NA,"Vismlauri","species",NA,NA
"1143","Vismia macrophylla","Vismia macrophylla","Vismia macrophylla","Vismia","Hypericaceae","tree","Vismmacr","species","tree",NA
"1144","Vismia sp","Vismia sp","Vismia","Vismia","Hypericaceae",NA,"Vismsp","genus",NA,NA
"1145","Vitex capitata","Vitex capitata","Vitex capitata","Vitex","Lamiaceae",NA,"Vitecapit","species","tree",NA
"1146","Vitex compressa","Vitex compressa","Vitex compressa","Vitex","Lamiaceae","tree","Vitecomp","species","tree",NA
"1147","Vitex cymosa","Vitex cymosa","Vitex cymosa","Vitex","Lamiaceae",NA,"Vitecymos","species","tree",NA
"1148","Vitex orinocensi","Vitex orinocensis","Vitex orinocensis","Vitex","Lamiaceae","tree","Viteorin","species","tree",NA
"1149","Vitex orinocensis","Vitex orinocensis","Vitex orinocensis","Vitex","Lamiaceae","tree","Viteorin","species","tree",NA
"1150","Vitex sp","Vitex sp","Vitex","Vitex","Lamiaceae","treelet","Vitesp","genus","treelet",NA
"1151","Vochisia lehmannii","Vochysia lehmannii","Vochysia lehmannii","Vochysia","Vochysiaceae","tree","Vochlehm","species","tree",NA
"1152","Vochysia crassifolia","Vochysia crassifolia","Vochysia crassifolia","Vochysia","Vochysiaceae",NA,"Vochcrass","species","tree",NA
"1153","Vochysia lehmanni","Vochysia lehmannii","Vochysia lehmannii","Vochysia","Vochysiaceae","tree","Vochlehm","species","tree",NA
"1154","Vochysia lehmannii","Vochysia lehmannii","Vochysia lehmannii","Vochysia","Vochysiaceae","tree","Vochlehm","species","tree",NA
"1155","Vochysia sp","Vochysia sp","Vochysia","Vochysia","Vochysiaceae",NA,"Vochsp","genus",NA,NA
"1156","Vochysia venezuelana","Vochysia venezuelana","Vochysia venezuelana","Vochysia","Vochysiaceae",NA,"Vochvenez","species",NA,NA
"1157","Wittmackanthus stanleyanus","Wittmackanthus stanleyanus","Wittmackanthus stanleyanus","Wittmackanthus",NA,NA,"Wittstanl","species",NA,NA
"1158","Xyilopia aromatica","Xylopia aromatica","Xylopia aromatica","Xylopia","Annonaceae","tree","Xyloarom","species","tree","LC"
"1159","Xylopia aromatica","Xylopia aromatica","Xylopia aromatica","Xylopia","Annonaceae","tree","Xyloarom","species","tree","LC"
"1160","Xylopia emarginata","Xylopia emarginata","Xylopia emarginata","Xylopia","Annonaceae",NA,"Xyloemarg","species","tree",NA
"1161","Xylopia sp","Xylopia sp","Xylopia","Xylopia","Annonaceae",NA,"Xylosp","genus",NA,NA
"1162","Xylosma spiculiferum","Xylosma spiculiferum","Xylosma spiculiferum","Xylosma","Salicaceae",NA,"Xylospicu","species",NA,NA
"1163","Zanthoxulum riofolia","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum","Rutaceae","tree","Zantrhoi","species","tree",NA
"1164","Zanthoxyllum fagara","Zanthoxylum fagara","Zanthoxylum fagara","Zanthoxylum","Rutaceae","treelet","Zantfaga","species","treelet",NA
"1165","Zanthoxyllum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum","Rutaceae","tree","Zantrhoi","species","tree",NA
"1166","Zanthoxyllum schreberi","Zanthoxylum schreberi","Zanthoxylum schreberi","Zanthoxylum","Rutaceae","tree","Zantschr","species","tree",NA
"1167","Zanthoxylum berrucoso","Zanthoxylum verrucosum","Zanthoxylum verrucosum","Zanthoxylum","Rutaceae","tree","Zantverr","species","tree",NA
"1168","Zanthoxylum berrucosun","Zanthoxylum verrucosum","Zanthoxylum verrucosum","Zanthoxylum","Rutaceae","tree","Zantverr","species","tree",NA
"1169","Zanthoxylum caribaeum","Zanthoxylum caribaeum","Zanthoxylum caribaeum","Zanthoxylum","Rutaceae",NA,"Zantcarib","species","tree",NA
"1170","Zanthoxylum cf gentryi","Zanthoxylum gentryi","Zanthoxylum gentryi","Zanthoxylum","Rutaceae",NA,"Zantgentr","species",NA,NA
"1171","Zanthoxylum cf rigidum","Zanthoxylum rigidum","Zanthoxylum rigidum","Zanthoxylum","Rutaceae","tree","Zantrigi","species","tree",NA
"1172","Zanthoxylum fagara","Zanthoxylum fagara","Zanthoxylum fagara","Zanthoxylum","Rutaceae","treelet","Zantfaga","species","treelet",NA
"1173","Zanthoxylum fagava","Zanthoxylum fagara","Zanthoxylum fagara","Zanthoxylum","Rutaceae","treelet","Zantfaga","species","treelet",NA
"1174","Zanthoxylum monofilum","Zanthoxylum monophyllum","Zanthoxylum monophyllum","Zanthoxylum","Rutaceae",NA,"Zantmonop","species",NA,NA
"1175","Zanthoxylum monofolea","Zanthoxylum monofolea","Zanthoxylum","Zanthoxylum","Rutaceae","tree","Zantsp","genus","tree",NA
"1176","Zanthoxylum monophyllum","Zanthoxylum monophyllum","Zanthoxylum monophyllum","Zanthoxylum","Rutaceae",NA,"Zantmonop","species",NA,NA
"1177","Zanthoxylum rhoifoli","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum","Rutaceae","tree","Zantrhoi","species","tree",NA
"1178","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum","Rutaceae","tree","Zantrhoi","species","tree",NA
"1179","Zanthoxylum rigidum","Zanthoxylum rigidum","Zanthoxylum rigidum","Zanthoxylum","Rutaceae","tree","Zantrigi","species","tree",NA
"1180","Zanthoxylum rohifolium","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum","Rutaceae","tree","Zantrhoi","species","tree",NA
"1181","Zanthoxylum roifolium","Zanthoxylum rhoifolium","Zanthoxylum rhoifolium","Zanthoxylum","Rutaceae","tree","Zantrhoi","species","tree",NA
"1182","Zanthoxylum schreberi","Zanthoxylum schreberi","Zanthoxylum schreberi","Zanthoxylum","Rutaceae","tree","Zantschr","species","tree",NA
"1183","Zanthoxylum sp","Zanthoxylum sp","Zanthoxylum","Zanthoxylum","Rutaceae","tree","Zantsp","genus","tree",NA
"1184","Zanthoxylum terota","Zanthoxylum terota","Zanthoxylum pterota","Zanthoxylum","Rutaceae",NA,"Zantptero","species",NA,NA
"1185","Zanthoxylum verrucosum","Zanthoxylum verrucosum","Zanthoxylum verrucosum","Zanthoxylum","Rutaceae","tree","Zantverr","species","tree",NA
"1186","Zanthoxylump sp","Zanthoxylum sp","Zanthoxylum","Zanthoxylum","Rutaceae","tree","Zantsp","genus","tree",NA
"1187","Zanthoxylun fagara","Zanthoxylum fagara","Zanthoxylum fagara","Zanthoxylum","Rutaceae","treelet","Zantfaga","species","treelet",NA
"1188","Zapoteca formosa","Zapoteca formosa","Zapoteca formosa","Zapoteca",NA,NA,"Zapoformo","species","treelet",NA
"1189","Zea mays","Zea mays","Zea mays","Zea",NA,NA,"Zeamays","species","forb",NA
"1190","Ziziphus mauritiana","Ziziphus mauritiana","Ziziphus mauritiana","Ziziphus","Rhamnaceae",NA,"Zizimauri","species","tree",NA
"1191","Ziziphus mauritianus","Ziziphus mauritiana","Ziziphus mauritiana","Ziziphus","Rhamnaceae",NA,"Zizimauri","species","tree",NA
"1192","Zizuphus sp","Ziziphus sp","Ziziphus","Ziziphus","Rhamnaceae",NA,"Zizisp","genus",NA,NA
"1193","Zygia sp","Zygia sp","Zygia","Zygia","Fabaceae","tree","Zygisp","genus","tree",NA
